Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Ronda de la Comunicación,5,Madrid,Madrid,Comunidad de Madrid,28050,Spain,40.5178019,-3.6669933
Paseo los Adarves,4,Molina de Aragón,Guadalajara,Castilla-La Mancha,19300,Spain,40.8424907,-1.888657
Carrer Sant Jaume,83,Torreblanca,Castelló,Comunidad Valenciana,12596,Spain,40.2213512,0.1979501
Avenida de Molinaseca,8,Ponferrada,León,Castilla y León,24400,Spain,42.5455513,-6.5820432
Calle Lejalde,27,Fitero,Navarra,Navarra,31593,Spain,42.0557857,-1.8602233
Avenida Marítima,98,El Golfo,Las Palmas,Canarias,35570,Spain,28.9811243,-13.8301473
Calle del Cap. Postigo,6,Villena,Alicante,Comunidad Valenciana,3400,Spain,38.638878,-0.868806
Calle Barbacana Baja,2,Carmona,Sevilla,Andalucía,41410,Spain,37.4715503,-5.6416504
Calle Espolon,22-24,Hortigüela,Burgos,Castilla y León,9640,Spain,42.068652,-3.4252106
Calle Angustias,70,Tabernas,Almería,Andalucía,4200,Spain,37.0497436,-2.3968934
Avinguda del Bisbe Campins,6,Porreres,Illes Balears,Illes Balears,7260,Spain,39.5170373,3.023177
Rúa de Pablo Iglesias,10,Boiro,A Coruña,,15930,Spain,42.64585,-8.8863513
c/ Carrobierzo,28,Jiménez de Jamuz,León,Castilla y León,24767,Spain,42.2713503,-5.933386
Calle San Rafael,3,Venta del Rayo,Granada,Andalucía,18300,Spain,37.1341667,-4.2138889
Rúa Comandante Fontanes,1,A Coruña,A Coruña,,15003,Spain,43.369945,-8.4047338
Calle Aguacebas,22,Coto-Ríos,Jaén,Andalucía,23478,Spain,38.0477075,-2.8486582
Plaça Major,1,Algar de Palància,Valencia,Comunidad Valenciana,46593,Spain,39.7811961,-0.367778
Avenida de la Coronación,10,Bollullos Par del Condado,Huelva,Andalucía,21710,Spain,37.3407509,-6.5390816
Rúa Constitución,18,Cambre,A Coruña,,15679,Spain,43.3189711,-8.3576787
Espoloia Kalea,12,Bergara,Gipuzkoa,Euskadi,20570,Spain,43.113219,-2.4149952
Calle Navegante Juan Patiño,78,Villanueva de la Serena,Badajoz,Extremadura,6700,Spain,38.97225,-5.7916999
Rúa de Celanova,54,Vilar de Santos,Ourense,,32650,Spain,42.0876802,-7.7922819
Calle San Pascual Bailón,2,Catral,Alicante,Comunidad Valenciana,3158,Spain,38.1583762,-0.7982551
